city,pm25,pm10,no2,so2,co,o3,aqi,Date,aqi_outlier,AQI_Category,temperature_2m_max,temperature_2m_min,windspeed_10m_max,precipitation_sum,DayOfWeek,Month,Quarter,IsWeekend,DayOfYear,Season_Code,AQI_lag1,AQI_lag2,AQI_lag7,AQI_roll3_mean,AQI_roll7_mean,AQI_roll7_std,PM_ratio,is_calm_day,is_rainy_day,is_spike
Kolkata,30.291032625464915,74.3095302865146,67.73944421053329,10.605655138624565,0.3461645058850075,44.6198608544082,48,2020-01-08,False,Good,22.7,10.9,9.4,0.7,2,1,1,0,8,0,111.0,50.0,27.0,69.66666666666667,77.85714285714286,46.26528061598882,0.40222044288714703,0,0,0
Kolkata,149.12158540039283,167.2630166602383,39.98592093921194,15.68870465361694,0.4577134594026519,52.86192044252891,134,2020-01-09,False,Moderate,20.9,15.6,8.7,10.7,3,1,1,0,9,0,48.0,111.0,77.0,97.66666666666667,86.0,50.87566543381358,0.8862410074431483,0,1,0
Kolkata,43.4694279599631,68.95430566683109,49.34001890251499,21.11527328706479,0.683889749436065,58.71130867887611,53,2020-01-10,False,Satisfactory,20.8,11.9,18.8,0.0,4,1,1,0,10,0,134.0,48.0,30.0,78.33333333333333,89.28571428571429,47.27125372328757,0.6213974614656804,0,0,0
Kolkata,99.34971762710666,152.8296326382819,29.66895157039763,6.933484862781652,0.5608445623299299,47.31881183337243,103,2020-01-11,False,Moderate,20.6,10.4,12.8,0.0,5,1,1,1,11,0,53.0,134.0,64.0,96.66666666666667,94.85714285714286,46.07757434091836,0.645842520216632,0,0,0
Kolkata,63.22838924892079,90.24652898057894,36.92259656924696,8.821472325618801,0.9670884142300036,44.13584381449361,66,2020-01-12,False,Satisfactory,21.5,10.6,10.1,0.0,6,1,1,1,12,0,103.0,53.0,165.0,74.0,80.71428571428571,34.764513926868425,0.6929402132368062,0,0,0
Kolkata,113.75003222208076,168.34445147515922,32.55014584895797,11.1829058717851,0.7594667265730408,52.49241322537687,115,2020-01-13,False,Moderate,21.4,9.5,12.2,0.0,0,1,1,0,13,0,66.0,103.0,50.0,94.66666666666667,90.0,33.86246693120079,0.6717080555707874,0,0,0
Kolkata,94.44077151802418,135.43535909165882,36.42211348338255,12.571778247445168,0.1,58.29499585676756,97,2020-01-14,False,Satisfactory,23.3,9.3,9.4,0.0,1,1,1,0,14,0,115.0,66.0,111.0,92.66666666666667,88.0,32.812599206199245,0.6922015828358526,0,0,0
Kolkata,41.85123737114621,86.07003583633914,29.839557583826497,15.742470960797984,1.1074180417729207,48.31534739509824,54,2020-01-15,False,Satisfactory,24.5,10.9,9.8,0.0,2,1,1,0,15,0,97.0,115.0,48.0,88.66666666666667,88.85714285714286,31.651374753863763,0.48066176807152955,0,0,0
Kolkata,76.02494616344154,125.24684347768869,39.76426432130913,17.00503115981226,1.7031228580158366,47.42049010620815,84,2020-01-16,False,Satisfactory,25.9,12.1,9.2,0.0,3,1,1,0,16,0,54.0,97.0,134.0,78.33333333333333,81.71428571428571,24.628670864897053,0.6021928475136668,0,0,0
Kolkata,102.73956451511326,135.80463699040854,28.67105517184088,6.8987711788866495,1.2018384849562362,60.553648192811934,101,2020-01-17,False,Moderate,27.0,14.1,11.4,0.0,4,1,1,0,17,0,84.0,54.0,53.0,79.66666666666667,88.57142857142857,21.823971093403582,0.7509947526290092,0,0,0
